Company,CIK,Date,Word Count,Sentiment Score,Sentiment Category,Positive Words,Negative Words,Key Sentiment Words,Boilerplate Percentage,Sentence Count,Max Sentence Length,Flesch Reading Ease,Flesch-Kincaid Grade Level,Gunning-Fog Index,Year,Company Presence by Year,Total Reports by Company
NETAPP INC,1002047,2004-06-29,10591,-0.147013783,Negative,"{'great': 1, 'enable': 1, 'favorably': 5, 'innovation': 2, 'successful': 1, 'positive': 1, 'enhancement': 5, 'gain': 15, 'achieve': 4, 'improve': 7, 'profitability': 3, 'easy': 1, 'efficiency': 1, 'best': 1, 'effective': 17, 'assure': 7, 'opportunity': 5, 'advantage': 1, 'good': 3, 'favorable': 11, 'enhance': 5, 'win': 1, 'able': 4, 'innovative': 1, 'strong': 1, 'improvement': 1, 'benefit': 19, 'strength': 1}","{'defer': 13, 'unpaid': 2, 'forfeiture': 2, 'downtime': 1, 'writeoffs': 3, 'weakness': 2, 'fail': 1, 'terminate': 2, 'challenge': 2, 'deteriorates': 1, 'cancel': 1, 'doubtful': 2, 'unanticipated': 1, 'writedown': 6, 'adverse': 3, 'solvency': 1, 'undelivered': 3, 'loss': 29, 'default': 1, 'volatility': 3, 'impaired': 12, 'restructuring': 49, 'bridge': 1, 'closure': 6, 'critical': 3, 'writedowns': 6, 'bad': 3, 'writeoff': 5, 'decline': 12, 'termination': 1, 'suspend': 1, 'obsolete': 1, 'adversely': 3, 'impairment': 21, 'force': 1, 'weak': 1, 'discontinue': 1, 'failure': 3, 'negatively': 4, 'absence': 1, 'unfavorable': 4, 'penalty': 1, 'restructurings': 2}","[('restructuring', 49), ('loss', 29), ('impairment', 21), ('benefit', 19), ('effective', 17), ('gain', 15), ('defer', 13), ('decline', 12), ('impaired', 12), ('favorable', 11), ('improve', 7), ('assure', 7), ('writedown', 6), ('writedowns', 6), ('closure', 6), ('opportunity', 5), ('enhance', 5), ('favorably', 5), ('writeoff', 5), ('enhancement', 5)]",0.0,445,257,37.1,12.4,8.92,2004,67/100,12/20
NETAPP INC,1002047,2005-08-07,12147,-0.117395945,Negative,"{'enable': 1, 'favorably': 4, 'leadership': 2, 'successful': 1, 'enhancement': 6, 'gain': 9, 'achieve': 3, 'improve': 5, 'profitability': 7, 'best': 1, 'effective': 13, 'assure': 7, 'opportunity': 5, 'strengthen': 1, 'advantage': 1, 'satisfy': 2, 'regain': 1, 'good': 2, 'favorable': 13, 'enhance': 4, 'win': 1, 'able': 4, 'innovative': 1, 'strong': 2, 'improvement': 4, 'benefit': 22, 'successfully': 1}","{'disqualify': 1, 'defer': 15, 'unpaid': 2, 'forfeit': 1, 'forfeiture': 2, 'idle': 1, 'writeoffs': 2, 'fail': 1, 'terminate': 3, 'challenge': 3, 'deteriorates': 1, 'cancel': 1, 'suffer': 1, 'difficult': 2, 'inefficient': 1, 'doubtful': 2, 'abnormal': 1, 'unanticipated': 1, 'writedown': 1, 'adverse': 2, 'solvency': 1, 'undelivered': 3, 'loss': 23, 'limitation': 2, 'default': 1, 'volatility': 4, 'disclose': 3, 'impaired': 8, 'restructuring': 42, 'bridge': 1, 'closure': 4, 'critical': 4, 'expose': 1, 'writedowns': 7, 'bad': 1, 'writeoff': 4, 'decline': 9, 'termination': 2, 'late': 1, 'suspend': 1, 'obsolete': 1, 'infringement': 1, 'adversely': 3, 'impairment': 14, 'force': 1, 'downward': 1, 'discontinue': 1, 'failure': 2, 'disaster': 1, 'negatively': 8, 'deterioration': 1, 'unfavorable': 3, 'penalty': 2, 'restate': 2, 'shortage': 1, 'restructurings': 3}","[('restructuring', 42), ('loss', 23), ('benefit', 22), ('defer', 15), ('impairment', 14), ('favorable', 13), ('effective', 13), ('decline', 9), ('gain', 9), ('negatively', 8), ('impaired', 8), ('profitability', 7), ('writedowns', 7), ('assure', 7), ('enhancement', 6), ('improve', 5), ('opportunity', 5), ('enhance', 4), ('favorably', 4), ('writeoff', 4)]",0.0,473,278,36.79,12.5,8.89,2005,74/100,12/20
NETAPP INC,1002047,2006-12-07,14114,-0.135009311,Negative,"{'enable': 1, 'beneficial': 2, 'favorably': 4, 'successful': 1, 'enhancement': 6, 'gain': 2, 'achieve': 6, 'improve': 9, 'profitability': 10, 'best': 3, 'effective': 19, 'assure': 5, 'opportunity': 5, 'advantage': 1, 'satisfy': 2, 'progress': 1, 'good': 1, 'favorable': 10, 'enhance': 4, 'win': 1, 'able': 4, 'strong': 1, 'improvement': 4, 'benefit': 14, 'successfully': 2}","{'correction': 2, 'disqualify': 1, 'defer': 15, 'catastrophic': 1, 'forfeit': 2, 'error': 2, 'forfeiture': 4, 'idle': 1, 'fail': 1, 'terminate': 2, 'challenge': 2, 'cancel': 2, 'restatement': 1, 'suffer': 1, 'cancellation': 2, 'concern': 2, 'difficult': 2, 'inefficient': 1, 'doubtful': 4, 'abnormal': 1, 'unanticipated': 1, 'writedown': 1, 'adverse': 5, 'solvency': 1, 'undelivered': 6, 'loss': 28, 'hazardous': 1, 'volatility': 7, 'impaired': 4, 'deviation': 1, 'restructuring': 34, 'impracticable': 1, 'closure': 2, 'critical': 7, 'writedowns': 7, 'bad': 2, 'deteriorate': 1, 'corruption': 1, 'writeoff': 1, 'decline': 13, 'termination': 5, 'suspend': 1, 'disruption': 1, 'obsolete': 2, 'infringement': 1, 'adversely': 4, 'impairment': 17, 'force': 2, 'downward': 1, 'closing': 1, 'discontinue': 1, 'failure': 2, 'disaster': 3, 'violation': 1, 'disruptive': 1, 'liquidation': 1, 'negatively': 8, 'deficiency': 1, 'unfavorable': 3, 'penalty': 1, 'inability': 1, 'restructurings': 2, 'shortfall': 1}","[('restructuring', 34), ('loss', 28), ('effective', 19), ('impairment', 17), ('defer', 15), ('benefit', 14), ('decline', 13), ('profitability', 10), ('favorable', 10), ('improve', 9), ('negatively', 8), ('volatility', 7), ('writedowns', 7), ('critical', 7), ('undelivered', 6), ('enhancement', 6), ('achieve', 6), ('opportunity', 5), ('adverse', 5), ('termination', 5)]",0.0,559,275,36.79,12.5,8.86,2006,84/100,12/20
NETAPP INC,1002047,2007-06-26,13610,-0.140503876,Negative,"{'great': 3, 'enable': 1, 'beneficial': 2, 'favorably': 3, 'leadership': 1, 'successful': 1, 'enhancement': 6, 'confident': 1, 'gain': 12, 'achieve': 2, 'improve': 9, 'profitability': 8, 'easy': 1, 'despite': 1, 'best': 2, 'effective': 15, 'assure': 3, 'opportunity': 2, 'advantage': 1, 'satisfy': 1, 'progress': 2, 'good': 1, 'favorable': 4, 'enhance': 5, 'able': 1, 'strong': 1, 'improvement': 3, 'benefit': 10, 'strength': 1, 'successfully': 1}","{'defer': 15, 'forfeiture': 3, 'lack': 1, 'terminate': 1, 'divestiture': 1, 'challenge': 1, 'cancel': 1, 'suffer': 1, 'slowdown': 1, 'difficult': 2, 'inefficient': 1, 'doubtful': 3, 'unanticipated': 1, 'writedown': 2, 'adverse': 4, 'solvency': 1, 'undelivered': 9, 'loss': 28, 'inconsistency': 1, 'hazardous': 1, 'volatility': 5, 'challenged': 1, 'disclose': 2, 'impaired': 2, 'slow': 1, 'deviation': 1, 'restructuring': 38, 'burden': 2, 'closure': 2, 'critical': 5, 'writedowns': 8, 'bad': 2, 'deteriorate': 1, 'decline': 16, 'termination': 3, 'suspend': 1, 'obsolete': 3, 'infringement': 1, 'adversely': 4, 'impairment': 17, 'force': 2, 'downward': 1, 'closing': 1, 'discontinue': 1, 'failure': 2, 'disaster': 1, 'outage': 1, 'liquidation': 1, 'negatively': 5, 'absence': 1, 'unfavorable': 3, 'penalty': 1, 'misstatement': 4, 'inability': 1, 'restructurings': 1, 'misstate': 1}","[('restructuring', 38), ('loss', 28), ('impairment', 17), ('decline', 16), ('effective', 15), ('defer', 15), ('gain', 12), ('benefit', 10), ('improve', 9), ('undelivered', 9), ('profitability', 8), ('writedowns', 8), ('enhancement', 6), ('enhance', 5), ('volatility', 5), ('negatively', 5), ('critical', 5), ('favorable', 4), ('adverse', 4), ('misstatement', 4)]",0.0,563,220,46.78,10.7,8.21,2007,83/100,12/20
NETAPP INC,1002047,2008-06-24,15746,-0.153732758,Negative,"{'great': 6, 'enable': 4, 'beneficial': 1, 'enhancement': 3, 'success': 1, 'gain': 23, 'achieve': 3, 'improve': 5, 'profitability': 5, 'efficiency': 2, 'best': 3, 'effective': 20, 'assure': 4, 'strengthen': 2, 'satisfy': 2, 'progress': 1, 'good': 1, 'satisfactory': 1, 'favorable': 3, 'enhance': 3, 'stabilize': 1, 'able': 2, 'innovative': 1, 'strong': 1, 'improvement': 2, 'benefit': 17, 'successfully': 1}","{'defer': 17, 'investigation': 3, 'forfeiture': 1, 'terminate': 1, 'unable': 3, 'challenge': 1, 'cancel': 1, 'cease': 1, 'suffer': 1, 'concern': 2, 'difficult': 4, 'inefficient': 1, 'doubtful': 3, 'volatile': 2, 'investigate': 1, 'unanticipated': 1, 'writedown': 5, 'adverse': 7, 'false': 2, 'solvency': 1, 'undelivered': 9, 'loss': 32, 'limitation': 1, 'subpoena': 3, 'hazardous': 1, 'litigation': 3, 'volatility': 4, 'challenged': 1, 'disclose': 3, 'impaired': 3, 'liquidate': 2, 'damage': 4, 'restructuring': 33, 'burden': 2, 'closure': 3, 'critical': 5, 'expose': 2, 'writedowns': 8, 'bad': 2, 'deteriorate': 3, 'downgrade': 1, 'decline': 13, 'termination': 7, 'suspend': 2, 'obsolete': 3, 'infringement': 3, 'adversely': 6, 'impairment': 21, 'stress': 1, 'closing': 1, 'discontinue': 1, 'failure': 2, 'injunction': 2, 'violation': 2, 'outage': 1, 'liquidation': 1, 'negatively': 1, 'deficiency': 4, 'absence': 1, 'penalty': 3, 'downturn': 1, 'shortage': 2, 'inability': 1, 'restructurings': 2}","[('restructuring', 33), ('loss', 32), ('gain', 23), ('impairment', 21), ('effective', 20), ('benefit', 17), ('defer', 17), ('decline', 13), ('undelivered', 9), ('writedowns', 8), ('adverse', 7), ('termination', 7), ('great', 6), ('adversely', 6), ('improve', 5), ('writedown', 5), ('profitability', 5), ('critical', 5), ('damage', 4), ('enable', 4)]",0.0,670,260,46.47,10.8,8.21,2008,83/100,12/20
NETAPP INC,1002047,2009-06-17,15212,-0.247708424,Negative,"{'great': 4, 'enable': 2, 'favorably': 1, 'stabilization': 1, 'enhancement': 2, 'gain': 15, 'achieve': 2, 'improve': 5, 'profitability': 5, 'easy': 1, 'despite': 1, 'efficiency': 1, 'best': 1, 'effective': 16, 'transparency': 1, 'opportunity': 1, 'efficient': 1, 'valuable': 1, 'strengthen': 1, 'satisfy': 1, 'progress': 1, 'good': 1, 'satisfactory': 1, 'favorable': 4, 'enhance': 1, 'stabilize': 1, 'able': 1, 'succeed': 1, 'improvement': 2, 'benefit': 28, 'successfully': 1}","{'curtail': 1, 'defer': 11, 'unpaid': 2, 'investigation': 1, 'forfeiture': 1, 'lack': 1, 'writeoffs': 5, 'dispute': 4, 'terminate': 7, 'unforeseen': 1, 'threaten': 1, 'unable': 3, 'challenge': 1, 'postpone': 1, 'cancel': 2, 'cease': 4, 'suffer': 1, 'depressed': 1, 'slowdown': 2, 'cancellation': 4, 'concern': 2, 'negative': 3, 'difficult': 4, 'doubtful': 3, 'unanticipated': 1, 'writedown': 3, 'adverse': 3, 'solvency': 1, 'undelivered': 9, 'loss': 38, 'default': 3, 'crisis': 1, 'unavailable': 1, 'denial': 1, 'hazardous': 1, 'litigation': 7, 'volatility': 6, 'challenged': 1, 'illiquid': 1, 'downsize': 2, 'impaired': 3, 'slow': 1, 'liquidate': 3, 'damage': 4, 'delay': 2, 'restructuring': 35, 'closure': 2, 'critical': 5, 'expose': 2, 'writedowns': 7, 'bad': 2, 'abandon': 1, 'deteriorate': 3, 'downgrade': 4, 'writeoff': 1, 'decline': 16, 'termination': 10, 'suspend': 3, 'allege': 2, 'obsolete': 4, 'infringement': 3, 'adversely': 8, 'impair': 1, 'insufficient': 1, 'protest': 1, 'impairment': 35, 'force': 1, 'closing': 4, 'discontinue': 1, 'failure': 2, 'injunction': 2, 'liquidation': 2, 'negatively': 1, 'bankruptcy': 2, 'foreclosure': 1, 'deterioration': 2, 'deficiency': 1, 'unfavorable': 2, 'penalty': 2, 'downturn': 1, 'broken': 1, 'inability': 1, 'restructurings': 1, 'worsen': 1}","[('loss', 38), ('restructuring', 35), ('impairment', 35), ('benefit', 28), ('effective', 16), ('decline', 16), ('gain', 15), ('defer', 11), ('termination', 10), ('undelivered', 9), ('adversely', 8), ('litigation', 7), ('writedowns', 7), ('terminate', 7), ('volatility', 6), ('improve', 5), ('profitability', 5), ('writeoffs', 5), ('critical', 5), ('damage', 4)]",0.0,549,273,43.63,11.9,9.41,2009,87/100,12/20
NETAPP INC,1002047,2010-06-18,11668,-0.224529891,Negative,"{'great': 3, 'enable': 1, 'favorably': 3, 'enhancement': 1, 'gain': 9, 'achieve': 3, 'improve': 3, 'profitability': 2, 'despite': 1, 'best': 1, 'effective': 12, 'transparency': 1, 'satisfy': 1, 'good': 2, 'satisfactory': 1, 'favorable': 5, 'enhance': 1, 'stabilize': 1, 'able': 1, 'strong': 3, 'improvement': 2, 'benefit': 21, 'successfully': 1}","{'curtail': 1, 'defer': 10, 'forfeiture': 1, 'lack': 1, 'writeoffs': 4, 'dispute': 1, 'terminate': 8, 'unable': 2, 'cancel': 2, 'cease': 2, 'suffer': 1, 'cancellation': 2, 'negative': 1, 'difficult': 2, 'doubtful': 3, 'unanticipated': 1, 'writedown': 1, 'adverse': 2, 'solvency': 1, 'undelivered': 8, 'loss': 28, 'default': 2, 'unavailable': 1, 'hazardous': 1, 'litigation': 2, 'volatility': 3, 'downsize': 1, 'impaired': 3, 'liquidate': 2, 'damage': 4, 'restructuring': 24, 'closure': 1, 'critical': 5, 'expose': 2, 'writedowns': 6, 'bad': 2, 'abandon': 1, 'deteriorate': 2, 'doubt': 1, 'downgrade': 4, 'decline': 14, 'termination': 11, 'suspend': 1, 'obsolete': 5, 'infringement': 3, 'adversely': 4, 'insufficient': 1, 'abandonment': 1, 'impairment': 26, 'force': 1, 'closing': 2, 'discontinue': 1, 'failure': 1, 'injunction': 2, 'liquidation': 1, 'negatively': 4, 'bankruptcy': 1, 'nonpayment': 1, 'foreclosure': 1, 'deterioration': 1, 'deficiency': 2, 'unfavorable': 3, 'penalty': 1, 'broken': 1, 'inability': 1}","[('loss', 28), ('impairment', 26), ('restructuring', 24), ('benefit', 21), ('decline', 14), ('effective', 12), ('termination', 11), ('defer', 10), ('gain', 9), ('undelivered', 8), ('terminate', 8), ('writedowns', 6), ('favorable', 5), ('obsolete', 5), ('critical', 5), ('damage', 4), ('writeoffs', 4), ('adversely', 4), ('negatively', 4), ('downgrade', 4)]",0.0,393,279,43.53,12.0,9.59,2010,89/100,12/20
NETAPP INC,1002047,2011-06-23,14002,-0.172252168,Negative,"{'great': 2, 'enable': 2, 'favorably': 3, 'superior': 1, 'enhancement': 1, 'gain': 10, 'achieve': 3, 'improve': 5, 'profitability': 2, 'despite': 1, 'efficiency': 1, 'best': 2, 'effective': 11, 'assure': 1, 'transparency': 1, 'satisfy': 1, 'good': 2, 'satisfactory': 1, 'favorable': 7, 'enhance': 1, 'stabilize': 1, 'able': 4, 'strong': 6, 'improvement': 1, 'benefit': 27, 'successfully': 1}","{'curtail': 1, 'defer': 10, 'forfeiture': 1, 'lack': 1, 'writeoffs': 3, 'dispute': 1, 'fail': 1, 'terminate': 7, 'unable': 3, 'cancel': 2, 'cease': 2, 'suffer': 1, 'cancellation': 1, 'negative': 1, 'difficult': 2, 'complaint': 5, 'doubtful': 3, 'disgorgement': 1, 'unanticipated': 1, 'writedown': 1, 'adverse': 1, 'defendant': 5, 'solvency': 1, 'undelivered': 7, 'loss': 27, 'default': 2, 'unavailable': 1, 'hazardous': 1, 'unpredictable': 1, 'litigation': 1, 'volatility': 3, 'downsize': 1, 'impaired': 3, 'liquidate': 1, 'damage': 3, 'restructuring': 25, 'closure': 1, 'critical': 5, 'expose': 2, 'writedowns': 5, 'bad': 2, 'deteriorate': 2, 'doubt': 1, 'downgrade': 4, 'decline': 12, 'breach': 1, 'termination': 10, 'suspend': 1, 'obsolete': 5, 'infringement': 1, 'adversely': 4, 'insufficient': 1, 'alleges': 1, 'abandonment': 1, 'impairment': 26, 'force': 1, 'closing': 5, 'discontinue': 1, 'failure': 1, 'dismiss': 2, 'liquidation': 1, 'negatively': 3, 'bankruptcy': 1, 'nonpayment': 1, 'foreclosure': 1, 'deterioration': 1, 'deficiency': 3, 'unfavorable': 3, 'plaintiff': 1, 'penalty': 1, 'broken': 1, 'inability': 1, 'slowly': 1}","[('loss', 27), ('benefit', 27), ('impairment', 26), ('restructuring', 25), ('decline', 12), ('effective', 11), ('termination', 10), ('gain', 10), ('defer', 10), ('favorable', 7), ('undelivered', 7), ('terminate', 7), ('strong', 6), ('improve', 5), ('closing', 5), ('writedowns', 5), ('complaint', 5), ('obsolete', 5), ('defendant', 5), ('critical', 5)]",0.0,484,280,43.43,12.0,9.5,2011,92/100,12/20
NETAPP INC,1002047,2012-06-19,12196,-0.110269696,Negative,"{'great': 1, 'enable': 2, 'favorably': 2, 'enhancement': 1, 'gain': 3, 'achieve': 3, 'improve': 3, 'profitability': 2, 'attainment': 1, 'despite': 2, 'efficiency': 4, 'best': 2, 'effective': 15, 'assure': 1, 'efficient': 1, 'satisfy': 1, 'progress': 1, 'resolve': 1, 'good': 2, 'satisfactory': 1, 'favorable': 5, 'enhance': 1, 'able': 2, 'innovative': 1, 'strong': 3, 'benefit': 22}","{'curtail': 1, 'defer': 18, 'unpaid': 1, 'forfeit': 1, 'lack': 1, 'terminate': 4, 'unable': 4, 'cancel': 2, 'suffer': 1, 'difficult': 2, 'doubtful': 1, 'unanticipated': 1, 'adverse': 1, 'solvency': 1, 'undelivered': 8, 'loss': 13, 'limitation': 1, 'default': 3, 'hazardous': 1, 'unpredictable': 1, 'litigation': 2, 'volatility': 3, 'controversy': 1, 'impaired': 2, 'liquidate': 1, 'damage': 1, 'restructuring': 8, 'critical': 5, 'expose': 2, 'writedowns': 2, 'bad': 1, 'deteriorate': 2, 'doubt': 1, 'downgrade': 3, 'decline': 9, 'termination': 7, 'suspend': 1, 'obsolete': 5, 'infringement': 1, 'adversely': 5, 'insufficient': 1, 'abandonment': 1, 'protest': 1, 'impairment': 19, 'force': 1, 'discontinue': 1, 'failure': 4, 'disaster': 2, 'liquidation': 1, 'foreclosure': 1, 'deterioration': 1, 'deficiency': 1, 'unfavorable': 2, 'penalty': 2}","[('benefit', 22), ('impairment', 19), ('defer', 18), ('effective', 15), ('loss', 13), ('decline', 9), ('restructuring', 8), ('undelivered', 8), ('termination', 7), ('favorable', 5), ('adversely', 5), ('obsolete', 5), ('critical', 5), ('unable', 4), ('efficiency', 4), ('failure', 4), ('terminate', 4), ('improve', 3), ('strong', 3), ('volatility', 3)]",0.262915736,427,260,43.73,11.9,9.45,2012,94/100,12/20
NETAPP INC,1002047,2013-06-17,10617,-0.098802395,Slightly Negative,"{'enable': 1, 'favorably': 2, 'enhancement': 1, 'gain': 3, 'achieve': 1, 'improve': 1, 'profitability': 2, 'attainment': 1, 'efficiency': 1, 'best': 2, 'effective': 14, 'assure': 1, 'efficient': 1, 'satisfy': 1, 'progress': 1, 'good': 3, 'satisfactory': 1, 'favorable': 4, 'enhance': 1, 'able': 2, 'innovative': 1, 'improvement': 2, 'benefit': 16}","{'curtail': 1, 'defer': 17, 'unpaid': 1, 'forfeiture': 2, 'lack': 2, 'unexpected': 1, 'unable': 1, 'cancel': 2, 'suffer': 1, 'deviate': 1, 'doubtful': 1, 'terminates': 1, 'unanticipated': 2, 'adverse': 1, 'solvency': 2, 'undelivered': 1, 'loss': 8, 'limitation': 1, 'default': 2, 'unpredictable': 1, 'litigation': 1, 'volatility': 4, 'controversy': 1, 'liquidate': 1, 'restructuring': 5, 'critical': 3, 'expose': 1, 'writedowns': 3, 'bad': 3, 'deteriorate': 1, 'downgrade': 1, 'decline': 3, 'termination': 2, 'suspend': 1, 'obsolete': 6, 'infringement': 1, 'adversely': 11, 'insufficient': 2, 'impairment': 12, 'force': 1, 'closing': 2, 'discontinue': 1, 'failure': 4, 'disaster': 2, 'negatively': 1, 'deterioration': 1, 'obsolescence': 1, 'absence': 1, 'unfavorable': 1, 'dispose': 1, 'penalty': 2}","[('defer', 17), ('benefit', 16), ('effective', 14), ('impairment', 12), ('adversely', 11), ('loss', 8), ('obsolete', 6), ('restructuring', 5), ('favorable', 4), ('volatility', 4), ('failure', 4), ('decline', 3), ('writedowns', 3), ('bad', 3), ('gain', 3), ('good', 3), ('critical', 3), ('forfeiture', 2), ('profitability', 2), ('closing', 2)]",0.0,357,189,43.93,11.8,9.48,2013,94/100,12/20
